 Procedimentos hospitalares do SUS - por local de internação - Brasil
Valor total por Unidade da Federação e Ano/mês processamento
Período:Jan/2019-Set/2021
"Unidade da Federação";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"2021/Set";"Total"
"24 Rio Grande do Norte";22503704,70;20181547,44;23086510,42;21820682,35;23588813,89;21530220,97;22229779,85;23120838,46;22455827,10;22263163,66;22922628,16;20949027,15;23101224,38;21644473,35;22438442,72;18744943,81;19454054,00;21476468,96;26337808,77;27579658,62;27721340,38;26052671,89;24742027,80;23886822,89;28074416,33;26581525,53;28444100,38;35930307,69;36764212,60;36708007,18;35989101,68;32369373,29;24063936,32;834757662,72
"25 Paraíba";18701777,09;18280230,48;19178379,93;18839657,83;21061830,25;19447508,70;19665224,24;20397259,96;19639745,97;19326032,30;19450907,04;18246437,76;17227838,00;17591547,33;17844195,52;16273867,55;14997248,91;17441299,56;27294311,05;23288213,79;19480924,47;19988426,94;18418075,59;18100602,50;19552670,55;21541160,93;26404374,31;29577403,03;34735632,48;34231692,36;29827487,76;28082449,35;24377900,38;708512313,91
"26 Pernambuco";66767187,21;63012036,07;65485622,52;65026872,36;71675203,64;68052177,03;71002753,56;70105175,96;69751772,00;73233805,15;69916288,52;65707740,38;70161441,76;64822616,22;66221727,51;49241430,42;58988241,41;64301576,28;74914677,43;77242718,06;71764620,17;66587801,49;78939716,08;72313959,40;83913852,46;78196525,89;87933693,44;103958119,10;123109445,78;125407650,08;114971565,52;102801016,63;83993757,90;2539522787,43
"27 Alagoas";15858616,49;17064476,64;17027823,71;16458514,97;17039962,66;17802731,50;18399929,39;16915520,06;16913798,57;17740071,36;16610757,56;16954486,35;16913209,84;15857344,98;16014260,42;15057213,01;14411431,27;15406872,52;18453860,49;19995280,39;18185986,17;18871513,02;18597375,56;17805273,37;17548566,67;18587484,37;22323051,11;26826283,56;29651474,26;28155677,93;28992503,97;24723159,91;19758417,78;626922929,86
"28 Sergipe";9870763,46;9577713,59;9745805,83;10183910,27;11014405,78;9397452,52;9931458,04;9628184,03;10011078,87;10464026,39;9199453,13;8463411,72;9691241,43;9325631,63;8093465,51;8589154,91;8026929,31;8057935,10;10313262,56;11404646,48;10741986,60;12278300,58;12264609,05;11454427,82;12060864,70;13226099,48;13507023,71;14928721,85;17724664,13;19633473,10;18894097,84;14297739,10;12133818,13;374135756,65
"29 Bahia";69943903,44;63037987,20;70631313,03;75656871,01;74930902,09;72311955,53;78145958,78;79465336,35;75612489,42;75333078,55;73597019,20;71008578,90;72991644,23;70076183,91;73156459,75;62673156,89;64097970,52;69711402,48;84234287,58;83505321,26;80580498,11;81282091,64;86323900,87;85898021,44;80041951,06;82385385,11;102012674,19;115544714,12;115405581,37;129189696,08;132882815,55;110063581,34;99862227,64;2761594958,64
"31 Minas Gerais";154066649,81;147968852,80;153459790,69;156777495,40;162963014,15;154830086,49;166207471,07;164287071,70;156567882,88;165120780,19;153006371,54;153901643,72;159280453,89;150237121,46;142897333,08;133416702,94;133520477,53;139953015,64;165962239,41;171272718,04;175362401,59;178236450,29;174286881,80;173567211,03;184123139,56;187320528,81;211478924,61;239221992,33;251148575,23;265282411,52;258578548,60;241931842,85;193773519,61;5820009600,26
"32 Espírito Santo";25005409,89;24433360,41;24489441,43;23966073,21;27678894,71;26257287,18;29321032,62;28080023,93;27494948,06;28981301,17;26652123,01;27587727,37;28057063,29;26361545,85;26637385,72;25322623,29;28976583,86;29041781,10;33474963,98;32364742,01;38569356,14;35748380,19;32030401,25;34689192,62;40954654,87;42374636,17;48195829,47;55037350,24;54019586,79;51416562,54;54431417,37;44627947,75;38395547,28;1120675174,77
"33 Rio de Janeiro";80140801,94;73535570,78;76151310,63;75853453,40;86637168,69;80125747,75;89924590,66;85720860,09;82971188,30;86392490,58;80843671,61;78579849,30;83186258,72;76116203,22;77004637,47;71404623,67;85123662,73;91735358,99;99331352,01;96339615,99;88305239,94;86995649,35;86868111,44;90483909,40;94360352,53;92977068,51;113354995,98;119301740,74;133925004,72;133147569,87;132215973,66;133050914,66;128586740,23;3090691687,56
"35 São Paulo";298180056,65;279427204,24;288819396,39;297834670,24;303889049,22;293587709,50;305033842,80;313868712,55;298547868,27;310847061,00;292851698,72;284749770,52;304511719,34;288872273,89;297359679,70;251331659,00;272493373,35;306781760,76;367672197,86;350135458,22;354165251,71;345961095,12;335880671,24;331043717,53;356097158,62;350366878,19;406866741,08;474279794,22;510118421,51;522748386,07;515461288,66;460348563,01;393119442,09;11363252571,27
"41 Paraná";122460918,04;119836506,38;123286810,02;120177202,18;126481772,97;125528571,51;125978907,59;126174536,45;126966338,94;131587683,74;127099316,24;117905826,73;122357489,56;127010218,52;117317015,92;94604541,30;107506194,76;96981983,22;109720663,59;129529222,48;122702263,26;129647873,97;126880362,87;121768083,63;123528504,44;133636140,75;141385533,73;156532484,08;166203382,79;179677707,75;182949734,92;178040081,29;121946453,33;4283410326,95
"42 Santa Catarina";58896965,31;57420491,79;58250110,95;61028085,60;64937709,40;63504945,54;66591656,76;68439538,79;67131286,74;67946962,52;62694674,96;62400948,72;60255326,83;63695794,11;61835940,53;51632371,91;55188294,77;57897436,61;61267297,89;65467585,93;71781494,82;69414431,71;68617316,44;70968697,28;72929775,60;75923295,76;85387122,77;88004351,85;84397945,20;94609849,23;97545214,53;102528877,83;83493556,56;2302085355,24
"43 Rio Grande do Sul";89664703,23;89259306,50;85585754,75;95152786,47;94163838,23;92237333,46;102298314,76;100260145,30;95917106,56;102331615,05;93971904,79;90775418,13;94908336,74;91437940,91;102876132,83;83000318,02;82381774,95;86092502,24;100579287,65;102609965,59;104401019,54;117458292,46;108853890,98;111760506,80;120030087,25;111945006,22;134338985,55;144526500,98;147346694,16;148308467,84;149813849,99;134569009,29;120016574,60;3528873371,82
"50 Mato Grosso do Sul";17108719,02;17713810,57;16882690,96;18253870,27;17778458,45;18387822,48;19870933,20;18913862,69;19591383,84;18935437,09;17230688,81;17895244,76;18115134,64;19542439,88;19032785,73;17410262,53;17913161,92;17363192,43;18858844,44;19877080,68;19247894,51;19497210,85;22023126,25;19782832,55;22014085,88;25249961,65;26028833,50;26840420,75;28649201,59;33920480,87;31552023,11;36310521,96;32338424,49;710130842,35
"51 Mato Grosso";14229113,36;15288698,79;16045499,92;15890208,95;16092716,67;16699780,69;16314811,22;16763581,32;15608982,84;15855641,23;15823328,54;15032737,51;15259436,50;15066106,66;14906973,08;12563655,61;13632848,78;13215428,53;16834650,98;19706219,32;20747222,33;22728110,29;20693686,21;19977286,64;19481528,85;19064853,12;24283725,76;31076211,12;31885835,07;33187675,05;38943213,02;37763607,95;27274369,25;657937745,16
"52 Goiás";35162665,51;33658226,73;36733253,84;36260374,54;38159986,89;37236918,46;37769227,09;37979735,24;37470767,39;37337272,34;35734855,79;34879373,70;35794874,64;35048141,29;34843938,16;30932236,73;34406945,17;36101619,85;40617188,84;46248805,85;44920822,38;45564156,75;43097417,03;44305389,14;46473895,94;44329462,46;57701390,23;61623242,59;58737766,85;64789459,87;72021155,22;70902865,44;64176809,02;1451020240,97
"53 Distrito Federal";20192152,35;18496333,16;22191795,70;18562231,92;20360779,48;20187082,38;22216154,63;23309181,24;17870194,68;17859596,85;19851940,18;18769437,77;22341629,09;20643441,06;22947163,99;21536505,16;19058243,91;22704335,27;25269773,34;26526196,39;20056592,11;20856249,30;20459325,27;22991567,76;23527050,29;22766952,62;31831917,45;38410115,30;31532816,86;30629361,48;29662716,67;27288766,94;28509985,96;769417586,56
"Total";1288274303,46;1226614760,98;1274394154,87;1300440623,42;1357406940,64;1308302989,52;1373192361,38;1379322215,44;1336776339,89;1381449232,32;1314031159,05;1275845411,92;1327814227,56;1286460084,94;1286247393,68;1108704127,97;1196048194,35;1288047942,09;1484489830,28;1514980314,74;1478353611,44;1490755131,89;1473427061,30;1455420730,81;1538904511,90;1551280511,51;1797368039,04;2027348296,43;2147582011,83;2233557062,83;2203235713,63;2025969918,04;1681734850,21;49413780059,36
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
